"","year","state","district","DemVotesMajorPercent","DemStatus","RepStatus","st_cd_fips","president_party","DemVotes","demincumbent","cvap","demturnout","avg_rating","battleground"
"1",2020,"Alabama",1,35.57,"Challenger","Challenger",101,"D",116949,0,543673,0.215109082113697,NA,0
"2",2020,"Alabama",2,34.72,"Challenger","Challenger",102,"D",105286,0,517299,0.203530260062362,NA,0
"3",2020,"Alabama",3,32.49,"Challenger","Incumbent",103,"D",104595,0,544771,0.191998105626034,NA,0
"4",2020,"Alabama",4,17.7,"Challenger","Incumbent",104,"D",56237,0,514673,0.109267437771167,NA,0
"5",2020,"Alabama",5,0,NA,"Incumbent",105,"D",0,0,554209,0,NA,0
"6",2020,"Alabama",6,0,NA,"Incumbent",106,"D",0,0,527386,0,NA,0
"7",2020,"Alabama",7,100,"Incumbent",NA,107,"D",225742,1,507169,0.445102125721406,NA,0
"8",2020,"Alaska",0,45.42,"Challenger","Incumbent",200,"D",159856,0,532553,0.30016918503886,5.40625,0
"9",2020,"Arizona",1,51.61,"Incumbent","Challenger",401,"D",188469,1,571454,0.329806073629723,2.34375,0
"10",2020,"Arizona",2,55.12,"Incumbent","Challenger",402,"D",209945,1,553192,0.379515611216359,1.125,0
"11",2020,"Arizona",3,64.57,"Incumbent","Challenger",403,"D",174243,1,494537,0.352335618972898,NA,0
"12",2020,"Arizona",4,30.24,"Challenger","Incumbent",404,"D",120484,0,627166,0.192108628337633,NA,0
"13",2020,"Arizona",5,41.11,"Challenger","Incumbent",405,"D",183171,0,592135,0.309339930927913,NA,0
"14",2020,"Arizona",6,47.83,"Challenger","Incumbent",406,"D",199644,0,593835,0.336194397433631,4.125,0
"15",2020,"Arizona",7,76.71,"Incumbent","Challenger",407,"D",165452,1,450033,0.367644150540071,NA,0
"16",2020,"Arizona",8,40.15,"Challenger","Incumbent",408,"D",170816,0,598865,0.28523289890042,NA,0
"17",2020,"Arizona",9,61.63,"Incumbent","Challenger",409,"D",217094,1,568709,0.38173125447285,NA,0
"18",2020,"Arkansas",1,0,NA,"Incumbent",501,"D",0,0,545906,0,NA,0
"19",2020,"Arkansas",2,44.63,"Challenger","Incumbent",502,"D",148410,0,569302,0.260687649086074,4.5,0
"20",2020,"Arkansas",3,33.09,"Challenger","Incumbent",503,"D",106325,0,572714,0.185651127788041,NA,0
"21",2020,"Arkansas",4,28.33,"Challenger","Incumbent",504,"D",75750,0,531557,0.142505883658761,NA,0
"22",2020,"California",1,43.01,"Challenger","Incumbent",601,"D",154073,0,543723,0.283366714301216,6.5,0
"23",2020,"California",2,75.74,"Incumbent","Challenger",602,"D",294435,1,527760,0.557895634379263,NA,0
"24",2020,"California",3,54.67,"Incumbent","Challenger",603,"D",176043,1,512079,0.343780940050266,NA,0
"25",2020,"California",4,44.05,"Challenger","Incumbent",604,"D",194731,0,571765,0.340578734270198,6.25,0
"26",2020,"California",5,76.09,"Incumbent","Challenger",605,"D",271233,1,513792,0.527904288116592,NA,0
"27",2020,"California",6,73.34,"Incumbent","Challenger",606,"D",229648,1,508243,0.451846852784987,NA,0
"28",2020,"California",7,56.62,"Incumbent","Challenger",607,"D",217416,1,535496,0.406008634985135,1.125,0
"29",2020,"California",8,43.94,"Challenger","Challenger",608,"D",124400,0,482457,0.257846813291133,6.75,0
"30",2020,"California",9,57.58,"Incumbent","Challenger",609,"D",174252,1,492580,0.353753704981932,NA,0
"31",2020,"California",10,55.16,"Incumbent","Challenger",610,"D",166865,1,482386,0.345915926249933,1.625,0
"32",2020,"California",11,72.99,"Incumbent","Challenger",611,"D",271063,1,507901,0.533692589697599,NA,0
"33",2020,"California",12,100,"Incumbent",NA,612,"D",281776,1,572211,0.492433735108203,NA,0
"34",2020,"California",13,90.37,"Incumbent","Challenger",613,"D",327863,1,529108,0.619652320509234,NA,0
"35",2020,"California",14,79.29,"Incumbent","Challenger",614,"D",278300,1,503738,0.552469736251782,NA,0
"36",2020,"California",15,70.9,"Incumbent","Challenger",615,"D",242991,1,499444,0.486523013591113,NA,0
"37",2020,"California",16,59.38,"Incumbent","Challenger",616,"D",128690,1,419680,0.306638391155166,NA,0
"38",2020,"California",17,71.35,"Incumbent","Challenger",617,"D",212137,1,433519,0.489337260881299,NA,0
"39",2020,"California",18,100,"Incumbent",NA,618,"D",217388,1,485446,0.447810879067909,NA,0
"40",2020,"California",19,71.68,"Incumbent","Challenger",619,"D",224385,1,479199,0.468250142425172,NA,0
"41",2020,"California",20,76.78,"Incumbent","Challenger",620,"D",236896,1,441695,0.536333895561417,NA,0
"42",2020,"California",21,49.55,"Incumbent","Challenger",621,"D",84406,1,362407,0.232903889825528,3.625,0
"43",2020,"California",22,45.77,"Challenger","Incumbent",622,"D",144251,0,482747,0.298812835708974,6.625,0
"44",2020,"California",23,37.86,"Challenger","Incumbent",623,"D",115896,0,493632,0.234782185919876,NA,0
"45",2020,"California",24,58.66,"Incumbent","Challenger",624,"D",212564,1,511437,0.415621083339688,NA,0
"46",2020,"California",25,49.95,"Challenger","Incumbent",625,"D",169305,0,474528,0.356786111673073,4.125,0
"47",2020,"California",26,60.58,"Incumbent","Challenger",626,"D",208856,1,479930,0.435180130435689,NA,0
"48",2020,"California",27,69.78,"Incumbent","Challenger",627,"D",221411,1,483104,0.45830918394383,NA,0
"49",2020,"California",28,72.66,"Incumbent","Challenger",628,"D",244271,1,507980,0.480867356982558,NA,0
"50",2020,"California",29,100,"Incumbent",NA,629,"D",119420,1,412306,0.289639248519304,NA,0
"51",2020,"California",30,69.48,"Incumbent","Challenger",630,"D",240038,1,533828,0.449654195733457,NA,0
"52",2020,"California",31,61.29,"Incumbent","Challenger",631,"D",175315,1,485177,0.361342355470272,NA,0
"53",2020,"California",32,66.58,"Incumbent","Challenger",632,"D",172942,1,454013,0.380918608057479,NA,0
"54",2020,"California",33,67.58,"Incumbent","Challenger",633,"D",257094,1,520291,0.494135012906239,NA,0
"55",2020,"California",34,100,"Incumbent",NA,634,"D",108792,1,409928,0.265392947054117,NA,0
"56",2020,"California",35,69.33,"Incumbent","Challenger",635,"D",169405,1,446470,0.379431988711448,NA,0
"57",2020,"California",36,60.34,"Incumbent","Challenger",636,"D",185151,1,513629,0.360476141339371,NA,0
"58",2020,"California",37,85.94,"Incumbent","Challenger",637,"D",254916,1,477306,0.534072481804126,NA,0
"59",2020,"California",38,100,"Incumbent",NA,638,"D",190467,1,472979,0.402696525638559,NA,0
"60",2020,"California",39,49.4,"Incumbent","Challenger",639,"D",169837,1,495007,0.34310019858305,2.96875,0
"61",2020,"California",40,72.74,"Incumbent","Challenger",640,"D",135572,1,341262,0.397266616265509,NA,0
"62",2020,"California",41,64.03,"Incumbent","Challenger",641,"D",168126,1,472161,0.356077693837483,NA,0
"63",2020,"California",42,42.87,"Challenger","Incumbent",642,"D",157773,0,544900,0.289544870618462,6.875,0
"64",2020,"California",43,71.68,"Incumbent","Challenger",643,"D",199210,1,437951,0.454868238684236,NA,0
"65",2020,"California",44,100,"Incumbent",NA,644,"D",139661,1,395425,0.353192135044572,NA,0
"66",2020,"California",45,53.46,"Incumbent","Challenger",645,"D",221843,1,529045,0.419327278397868,1.25,0
"67",2020,"California",46,68.75,"Incumbent","Challenger",646,"D",157803,1,406607,0.388097106050806,NA,0
"68",2020,"California",47,63.27,"Incumbent","Challenger",647,"D",197028,1,480846,0.409752810671192,NA,0
"69",2020,"California",48,48.94,"Incumbent","Challenger",648,"D",193362,1,526102,0.367537093567407,2.9375,0
"70",2020,"California",49,53.13,"Incumbent","Challenger",649,"D",205349,1,518588,0.395977153347166,NA,0
"71",2020,"California",50,46.05,"Challenger","Challenger",650,"D",166869,0,509350,0.327611661922058,5.78125,0
"72",2020,"California",51,68.3,"Incumbent","Challenger",651,"D",165596,1,437338,0.378645349820962,NA,0
"73",2020,"California",52,61.58,"Incumbent","Challenger",652,"D",244145,1,557344,0.438050826778435,NA,0
"74",2020,"California",53,100,"Challenger",NA,653,"D",199244,0,559071,0.356384072863733,NA,0
"75",2020,"Colorado",1,75.79,"Incumbent","Challenger",801,"D",331621,1,621496,0.533585091456743,NA,1
"76",2020,"Colorado",2,63.45,"Incumbent","Challenger",802,"D",316925,1,633612,0.500187812099518,NA,1
"77",2020,"Colorado",3,46.8,"Challenger","Challenger",803,"D",194122,0,567907,0.34182005152252,4.71875,1
"78",2020,"Colorado",4,37.85,"Challenger","Incumbent",804,"D",173945,0,592970,0.29334536317183,NA,1
"79",2020,"Colorado",5,39.36,"Challenger","Incumbent",805,"D",161600,0,603408,0.267812160263039,NA,1
"80",2020,"Colorado",6,58.83,"Incumbent","Challenger",806,"D",250314,1,560937,0.446242626177271,1.125,1
"81",2020,"Colorado",7,61.13,"Incumbent","Challenger",807,"D",250525,1,573646,0.436724042353647,NA,1
"82",2020,"Connecticut",1,64.58,"Incumbent","Challenger",901,"D",222668,1,521613,0.426883532427298,NA,0
"83",2020,"Connecticut",2,60.85,"Incumbent","Challenger",902,"D",218119,1,549037,0.397275593448165,NA,0
"84",2020,"Connecticut",3,59.63,"Incumbent","Challenger",903,"D",203265,1,532926,0.381413179315702,NA,0
"85",2020,"Connecticut",4,63.21,"Incumbent","Challenger",904,"D",224432,1,492345,0.455842955651017,NA,0
"86",2020,"Connecticut",5,55.88,"Incumbent","Challenger",905,"D",192484,1,519894,0.370237009852008,NA,0
